hip,bayer,con
79375,Psi,Sco
79497,Zet,Nor
79509,Kap,Nor
79540,Chi,Sco
79593,Del,Oph
79607,Sig,CrB
79653,The,Nor
79664,Del,TrA
79757,Ups,CrB
79790,Gam-1,Nor
79822,Eta,UMi
79882,Eps,Oph
79963,Lam,Nor
79992,Tau,Her
80000,Gam-2,Nor
80047,Del-1,Aps
80057,Del-2,Aps
80079,Omi,Sco
80112,Sig,Sco
80170,Gam,Her
80179,Sig,Ser
80181,Xi,CrB
80197,Nu-1,CrB
80214,Nu-2,CrB
80331,Eta,Dra
80343,Psi,Oph
80463,Ome,Her
80473,Rho,Oph
80569,Chi,Oph
80582,Eps,Nor
80628,Ups,Oph
80645,Iot,TrA
80686,Zet,TrA
80763,Alp,Sco
80816,Bet,Her
80883,Lam,Oph
80894,Phi,Oph
80975,Ome,Oph
81065,Gam,Aps
81122,Mu,Nor
81126,Sig,Her
81252,The,TrA
81266,Tau,Sco
81377,Zet,Oph
81693,Zet,Her
81710,Eta-1,TrA
81833,Eta,Her
81852,Bet,Aps
82080,Eps,UMi
82273,Alp,TrA
82363,Eta,Ara
82396,Eps,Sco
82514,Mu-1,Sco
82545,Mu-2,Sco
82671,Zet-1,Sco
82673,Iot,Oph
82729,Zet-2,Sco
83000,Kap,Oph
83081,Zet,Ara
83153,Eps-1,Ara
83207,Eps,Her
83431,Eps-2,Ara
83608,Mu,Dra
83895,Zet,Dra
84012,Eta,Oph
84143,Eta,Sco
84345,Alp-1,Her
84379,Del,Her
84380,Pi,Her
84535,Lam,UMi
84625,Omi,Oph
84626,Omi,Oph
84880,Nu,Ser
84893,Xi,Oph
84969,Zet,Aps
84970,The,Oph
84979,Iot,Aps
85079,Iot,Ara
85112,Rho,Her
85258,Bet,Ara
85267,Gam,Ara
85312,Kap,Ara
85355,Sig,Oph
85670,Bet,Dra
85693,Lam,Her
85696,Ups,Sco
85727,Del,Ara
85792,Alp,Ara
85819,Nu-1,Dra
85822,Del,UMi
85829,Nu-2,Dra
85927,Lam,Sco
86032,Alp,Oph
86092,Sig,Ara
86201,Ome,Dra
86228,The,Sco
86263,Xi,Ser
86284,Mu,Oph
86305,Pi,Ara
86414,Iot,Her
86486,Lam,Ara
86565,Omi,Ser
